nim,kode_mk,nilai_angka,nilai_huruf,semester
2410091,SD2201,80,A,5
2410091,SD1102,89,C,3
2410092,SD1102,76,E,3
2410092,SD2301,89,C,3
2410092,SD1201,87,C,3
2410093,SD1201,40,C,6
2410093,SD1102,91,C,6
2410093,SD2101,82,B,4
2410094,SD1202,57,D,6
2410094,SD1101,90,C,3
2410094,SI1201,72,C,2
2410095,SD2201,,D,3
2410095,SI1101,59,D,6
2410095,SD1201,84,E,2
2410096,IF1101,71,A,6
2410096,SD1102,79,B,2
2410096,SD1201,60,B,3
2410097,IF1201,73,D,3
2410097,SD1202,68,D,2
2410097,SD1201,83,B,3
2410098,SD1202,64,C,1
2410098,SD2201,76,C,2
2410098,IF1101,51,A,2
2410099,SD2401,66,D,5
2410099,SD2301,74,C,5
2410099,SI1201,74,C,1
2410100,SD2101,78,B,5
2410100,SD1101,71,A,3
2410100,SD1202,66,C,5
2410101,SD1201,54,C,1
2410101,IF1101,77,C,4
2410101,SD2401,50,A,5
2410102,SI1101,82,B,6
2410102,SD1201,65,E,1
2410102,SD2101,95,C,5
2410103,IF1201,68,D,4
2410103,SI1101,84,C,3
2410103,SD1202,74,B,4
2410104,SD2301,83,D,1
2410104,SD2101,82,E,5
2410104,SD1102,79,A,1
2410105,SD1201,66,D,5
2410105,SD2201,84,D,1
2410105,IF1101,87,C,4
2410106,SD2301,49,A,1
2410106,SI1101,69,B,5
2410106,SD1202,78,C,4
2410107,SI1101,85,C,1
2410107,SI1201,91,C,3
2410107,SD2401,67,B,5
2410108,SD2101,80,B,1
2410108,IF1201,60,A,5
2410108,SD1101,71,A,3
2410109,SD2101,69,A,3
2410109,SD1201,69,A,4
2410109,SD1101,52,C,3
2410110,SD1101,77,C,4
2410110,SD2101,98,C,5
2410110,SD1202,100,C,2
2410111,IF1201,61,B,5
2410111,SD1102,71,C,1
2410111,SD2101,49,A,4
2410112,SD1202,67,B,2
2410112,SD2201,49,A,5
2410112,IF1101,66,A,4
2410113,SD1102,77,C,3
2410113,SD1201,69,C,6
2410113,IF1201,71,B,4
2410114,SD1201,58,B,4
2410114,IF1201,91,C,1
2410114,SI1101,52,A,6
2410115,SD1201,80,E,4
2410115,SD1102,72,A,1
2410115,SD1202,80,A,6
2410116,SD2401,88,C,6
2410116,SD1201,64,B,4
2410116,SD2101,55,C,2
2410117,IF1201,67,E,3
2410117,SD1101,78,B,5
2410117,SI1101,59,A,5
2410118,SD1202,83,D,3
2410118,SD1201,66,E,3
2410118,IF1201,73,A,3
2410119,IF1201,96,C,2
2410119,SD2101,66,C,3
2410119,SD1102,71,B,6
2410120,SI1201,55,E,6
2410120,SD1101,77,E,1
2410120,SD1202,61,B,4
2410121,IF1201,52,B,4
2410121,SD2401,67,E,4
2410121,IF1101,75,B,3
2410122,SD2201,58,C,1
2410122,SD2301,82,B,4
2410122,SI1201,67,B,3
2410123,SD1101,64,B,2
2410123,SD1202,84,D,1
2410123,SD2201,74,A,4
2410124,SD1201,51,A,4
2410124,SD2201,70,B,2
2410124,SD2301,84,A,4
2410125,SD1202,86,C,3
2410125,SD2101,62,B,6
2410125,SD2301,72,A,2
2410126,SD2101,40,E,4
2410126,SD1101,60,E,5
2410126,IF1101,77,E,6
2410127,SD1201,77,E,2
2410127,SD1102,70,C,6
2410127,SD2401,86,C,6
2410128,IF1101,70,E,3
2410128,SD1201,75,D,6
2410128,SD2201,100,C,2
2410129,SD2201,59,A,1
2410129,SD2401,56,C,3
2410129,SD2301,74,D,4
2410130,SD1101,56,A,1
2410130,SD1102,54,D,5
2410130,IF1201,67,D,5
2410131,IF1201,64,C,5
2410131,IF1101,51,E,3
2410131,SD2101,74,D,5
2410132,IF1201,71,D,1
2410132,SD1101,70,A,6
2410132,SD2401,84,E,1
2410133,SD2201,60,D,2
2410133,SD1202,74,D,6
2410133,SD1101,66,B,2
2410134,SD1202,69,E,6
2410134,SD1101,74,C,4
2410134,SD2301,89,C,5
2410135,SD1101,80,B,1
2410135,SD2301,82,C,5
2410135,SD1102,56,D,3
2410136,IF1201,,E,4
2410136,SD1102,60,E,6
2410136,SD1202,67,B,6
2410137,SD2401,51,C,6
2410137,SD2301,57,C,4
2410137,SD2201,73,D,1
2410138,SD2301,72,C,6
2410138,IF1201,72,D,4
2410138,SD2201,,B,1
2410139,IF1101,58,E,2
2410139,SD1102,81,E,5
2410139,SI1101,77,C,6
2410140,SD2101,93,C,3
2410140,SD1101,71,E,1
2410140,SD1201,73,A,5
2410141,SD2201,70,B,6
2410141,SI1101,71,E,4
2410141,SI1201,84,D,6
2410142,SD2101,71,A,6
2410142,SD2401,61,A,4
2410142,SI1101,64,E,5
2410143,IF1101,86,C,1
2410143,SD2301,74,A,5
2410143,SD1102,70,B,5
2410144,IF1101,60,A,1
2410144,IF1201,78,B,4
2410144,SD2101,44,B,5
2410145,IF1201,79,A,5
2410145,SD1201,58,C,3
2410145,SI1201,81,E,2
2410146,SD2301,76,A,4
2410146,SI1101,87,C,5
2410146,SD2401,77,C,5
2410147,IF1101,91,C,6
2410147,SD1201,100,C,6
2410147,SD2301,88,C,4
2410148,SD2401,63,C,3
2410148,SD1102,70,A,5
2410148,SD1202,72,D,3
2410149,SD2101,77,B,1
2410149,SI1201,84,B,2
2410149,SD2201,65,B,1
2410150,SD1201,75,D,4
2410150,SD2201,74,D,1
2410150,SD2301,68,A,1
2410151,SD1101,76,B,2
2410151,IF1101,75,E,5
2410151,SD2101,89,C,3
2410152,IF1101,68,D,3
2410152,SD1102,71,C,3
2410152,SI1101,66,A,2
2410153,IF1101,71,E,1
2410153,SD2301,75,A,6
2410153,SD2201,56,C,6
2410154,SI1201,76,D,2
2410154,SI1101,67,E,5
2410154,SD1202,64,E,4
2410155,SD1101,81,D,3
2410155,SI1101,60,D,3
2410155,SD1202,69,E,5
2410156,SD2301,78,C,2
2410156,IF1101,78,D,4
2410156,IF1201,59,D,4
2410157,SD1101,83,D,6
2410157,SD2201,78,D,5
2410157,SD1201,77,A,4
2410158,SD2101,68,D,1
2410158,SD1102,75,C,6
2410158,IF1201,55,E,6
2410159,IF1101,89,C,4
2410159,SD2101,79,A,5
2410159,SD1201,75,D,4
2410160,SI1101,54,E,1
2410160,SI1201,75,E,2
2410160,SD2401,76,B,3
2410161,SD1101,61,A,5
2410161,SI1201,84,B,6
2410161,SD1201,74,E,5
2410162,SD1102,56,A,6
2410162,SD1101,74,B,2
2410162,SI1201,64,A,1
2410163,SD2301,87,C,4
2410163,IF1101,70,D,6
2410163,SD1201,73,B,2
2410164,SI1101,51,D,3
2410164,SD1201,95,C,5
2410164,SD2101,71,E,4
2410165,IF1101,64,A,2
2410165,SD2401,63,E,4
2410165,SI1101,64,E,4
2410166,SD1202,42,C,3
2410166,IF1201,64,D,1
2410166,SD2301,75,D,4
2410167,SI1101,85,C,3
2410167,SD1102,58,A,4
2410167,IF1201,81,E,2
2410168,SD1102,66,D,3
2410168,SI1201,66,D,1
2410168,SD2301,69,C,6
2410169,SD1201,63,C,5
2410169,SD2101,85,C,1
2410169,SD2201,74,B,6
2410170,IF1101,79,C,6
2410170,SD2301,74,C,3
2410170,SI1201,65,A,6
2410171,IF1101,56,D,4
2410171,SI1101,64,B,2
2410171,SI1201,91,C,3
2410172,SD2401,64,B,2
2410172,IF1201,77,A,1
2410172,SI1101,87,C,5
2410173,SI1201,75,D,6
2410173,SD2101,91,C,2
2410173,SD2401,75,A,2
2410174,SI1201,69,B,4
2410174,SD1201,74,B,3
2410174,SD2301,64,A,1
2410175,SD2301,82,B,2
2410175,SD1101,74,C,6
2410175,SI1101,68,D,3
2410176,SD2201,81,D,5
2410176,SI1101,55,C,3
2410176,SD2401,49,C,3
2410177,SD2201,70,D,4
2410177,SD2101,87,C,3
2410177,SI1201,58,B,4
2410178,SD1101,79,C,1
2410178,SD2101,81,A,1
2410178,SD1102,78,B,2
2410179,SD1101,77,D,4
2410179,SI1101,85,C,4
2410179,SD1201,37,B,1
2410180,SD2101,67,A,6
2410180,SD1202,77,D,1
2410180,SD1201,63,D,1
2410181,IF1201,63,B,4
2410181,SD2201,62,A,6
2410181,SD1102,77,A,2
2410182,SD1202,78,C,1
2410182,SD2401,79,B,6
2410182,SD1201,97,C,2
2410183,IF1101,76,C,2
2410183,SD1202,77,C,6
2410183,IF1201,55,E,6
2410184,SD2301,80,C,5
2410184,SD2401,77,A,3
2410184,SI1101,73,A,4
2410185,IF1201,73,E,5
2410185,SD1202,77,C,5
2410185,SD2101,63,A,6
2410186,IF1101,68,C,5
2410186,SD2201,72,A,6
2410186,SD2401,100,C,5
2410187,SD1102,93,C,5
2410187,SI1101,67,D,1
2410187,IF1101,69,D,4
2410188,SD1202,61,E,3
2410188,SD2301,63,A,5
2410188,SI1101,65,A,2
2410189,SI1201,27,B,3
2410189,IF1101,74,A,6
2410189,SD2301,63,D,1
2410190,SI1101,61,B,1
2410190,SD2301,93,C,4
2410190,SD1202,44,B,6
2410191,SD2101,69,A,6
2410191,SD1202,78,A,3
2410191,SD2301,92,C,4
2410192,SD1202,56,A,6
2410192,SD2401,84,C,3
2410192,SD2201,86,C,4
2410193,SD1201,82,E,1
2410193,SD1101,58,B,2
2410193,SD2301,67,A,6
2410194,SD1201,64,C,1
2410194,IF1201,93,C,2
2410194,SD1102,77,C,3
2410195,SD2401,63,C,3
2410195,SD1202,65,B,6
2410195,IF1201,67,E,6
2410196,IF1201,75,A,5
2410196,SD2401,70,D,6
2410196,SD1102,83,B,3
2410197,SD1101,69,D,6
2410197,SD2201,52,A,1
2410197,SD2101,75,C,3
2410198,SI1201,69,C,6
2410198,SD2101,77,D,4
2410198,SD1201,64,C,4
2410199,SD1101,94,C,4
2410199,SD2101,72,A,6
2410199,SD1102,58,C,5
2410200,SI1101,84,D,5
2410200,SD2401,61,A,5
2410200,SD2301,58,E,6
2410201,SI1101,75,B,3
2410201,SD1201,60,D,1
2410201,SD2301,89,C,2
2410202,SD2301,75,B,5
2410202,IF1201,95,C,1
2410202,SD1201,,C,5
2410203,SD1201,86,C,6
2410203,SD1101,56,C,3
2410203,SI1201,82,C,6
2410204,SD1102,56,E,2
2410204,SD2301,70,C,4
2410204,SI1101,88,C,1
2410205,SD2101,60,E,1
2410205,SD2301,70,E,2
2410205,SI1201,55,A,5
2410206,SD1102,75,A,4
2410206,SI1201,69,B,2
2410206,SD2201,83,C,2
2410207,SI1201,82,C,5
2410207,SD2201,69,A,5
2410207,SD1101,89,C,2
2410208,SD1202,100,C,1
2410208,SD2401,,D,5
2410208,SD2301,68,D,3
2410209,SD1201,86,C,1
2410209,SD2301,96,C,6
2410209,SI1201,55,A,5
2410210,SD1102,71,E,6
2410210,SD2401,72,C,2
2410210,SD1101,71,E,5
2410211,IF1101,81,B,5
2410211,SD1201,74,C,3
2410211,SD1202,77,A,1
2410212,IF1201,71,B,1
2410212,SD1201,67,B,4
2410212,SD1202,48,D,5
2410213,SD1102,67,D,3
2410213,SD1201,90,C,2
2410213,SI1201,54,E,5
2410214,SD1102,76,C,6
2410214,SD2401,69,B,3
2410214,SD2301,77,B,2
2410215,SD1201,81,E,2
2410215,SD1202,67,C,3
2410215,SD1101,75,D,3
2410216,SD2101,57,B,1
2410216,SD2301,55,D,6
2410216,IF1101,83,C,2
2410217,SD1201,77,B,1
2410217,IF1101,,D,1
2410217,SI1101,59,B,5
2410218,SD2101,72,A,4
2410218,SD1102,90,C,4
2410218,SD2201,76,A,4
2410219,SI1201,67,A,2
2410219,SI1101,90,C,1
2410219,SD1102,86,C,2
2410220,IF1101,79,D,1
2410220,IF1201,87,C,5
2410220,SI1101,75,B,5
2410221,SD1202,86,C,5
2410221,SD2401,63,D,6
2410221,SD1101,71,A,5
2410222,SD1201,76,D,6
2410222,SD2301,84,C,1
2410222,SI1101,92,C,1
2410223,IF1101,65,D,4
2410223,SD2301,59,C,3
2410223,SD1101,88,C,5
2410224,SD2201,70,A,3
2410224,SD2401,93,C,4
2410224,SD1201,58,B,6
2410225,SD2301,62,C,3
2410225,SI1201,39,B,6
2410225,SD1102,65,E,6
2410226,SI1101,67,E,2
2410226,SD2201,76,E,1
2410226,SD2401,78,E,1
2410227,SD1201,62,A,1
2410227,SD1202,72,E,2
2410227,SD1102,70,C,6
2410228,SI1201,78,B,5
2410228,IF1101,69,E,3
2410228,SD2201,50,D,2
2410229,SD2401,62,A,3
2410229,SD1201,74,B,1
2410229,SD2201,91,C,3
2410230,SD2101,84,B,2
2410230,SD2201,76,B,2
2410230,SD1102,62,C,5
2410231,SD1201,53,A,2
2410231,IF1101,57,C,2
2410231,SD2201,59,C,5
2410232,SD2301,60,D,2
2410232,SI1201,77,B,6
2410232,SD2201,60,A,2
2410233,SD2201,70,C,6
2410233,SD2301,61,C,2
2410233,IF1101,45,E,4
2410234,IF1201,68,C,1
2410234,SD1102,62,D,5
2410234,SD2101,74,A,2
2410235,SD1101,,E,1
2410235,SD2301,54,A,1
2410235,SD1201,53,E,2
2410236,SD2101,77,B,2
2410236,SD2201,59,E,4
2410236,SD2401,76,D,2
2410237,SD1101,89,C,5
2410237,IF1101,94,C,4
2410237,SD1201,59,A,2
2410238,SI1101,79,D,6
2410238,SD2101,74,C,4
2410238,SD1101,70,C,2
2410239,SI1101,81,D,4
2410239,IF1101,73,A,5
2410239,SD1102,70,A,3
2410240,SI1201,69,C,2
2410240,SD2401,59,D,3
2410240,SD2301,79,B,6
2410241,SD2201,83,C,3
2410241,SD2401,,A,2
2410241,SD2301,85,C,4
2410242,SD1102,66,B,6
2410242,SI1101,68,C,5
2410242,SD2401,69,A,2
2410243,SD2101,67,C,4
2410243,SI1201,73,A,2
2410243,SD1201,83,D,4
2410244,IF1201,80,E,4
2410244,SD2101,88,C,4
2410244,SD2401,,A,1
2410245,SD1202,68,B,1
2410245,SD1101,61,E,3
2410245,IF1101,73,E,5
2410246,SD1102,78,E,4
2410246,SI1101,57,B,1
2410246,IF1101,72,A,4
2410247,SD2101,92,C,6
2410247,SI1201,85,C,4
2410247,SD1201,80,B,1
2410248,SD2101,92,C,3
2410248,SI1101,74,A,5
2410248,IF1201,66,E,1
2410249,SI1201,66,B,1
2410249,SD2101,62,D,3
2410249,SD2401,74,B,1
2410250,SD2401,,B,5
2410250,SD2101,60,D,6
2410250,SD1201,76,E,4
2410251,SD2301,90,C,1
2410251,SD2101,87,C,2
2410251,SI1101,71,B,5
2410252,SI1101,77,A,4
2410252,SD1101,71,B,5
2410252,IF1101,66,B,3
2410253,SD2101,86,C,4
2410253,SD2301,78,C,6
2410253,SD2201,75,C,2
2410254,IF1101,81,E,6
2410254,SI1101,59,B,3
2410254,SD1201,81,D,1
2410255,SD2201,83,B,4
2410255,SD1102,55,C,1
2410255,SD1201,62,D,2
2410256,SI1101,67,A,2
2410256,IF1201,97,C,1
2410256,IF1101,54,C,5
2410257,IF1101,69,C,3
2410257,SD1202,82,C,1
2410257,SD1101,72,B,6
2410258,SD1101,82,B,2
2410258,SI1101,76,C,6
2410258,SD2301,57,B,2
2410259,SD2301,54,C,4
2410259,IF1101,94,C,5
2410259,SD1102,92,C,4
2410260,SD1101,88,C,5
2410260,SD2401,74,B,4
2410260,SD2301,62,E,4
2410261,SD1101,79,B,5
2410261,SD1102,77,D,5
2410261,SI1201,71,D,6
2410262,IF1101,75,A,1
2410262,SD2301,79,B,6
2410262,IF1201,78,B,5
2410263,SD2401,61,C,2
2410263,SD2301,54,B,3
2410263,SI1101,60,E,4
2410264,IF1201,59,A,3
2410264,SI1201,77,D,5
2410264,SD1201,78,C,3
2410265,IF1201,64,E,5
2410265,SI1201,76,B,3
2410265,SD1102,73,D,3
2410266,SD2201,65,C,1
2410266,IF1101,80,B,4
2410266,SD2401,,A,5
2410267,SD1101,64,A,6
2410267,SD2201,75,E,2
2410267,IF1201,70,E,5
2410268,SI1201,72,D,1
2410268,IF1201,44,B,4
2410268,IF1101,99,C,4
2410269,SD2401,82,D,6
2410269,IF1201,82,A,2
2410269,SD1202,57,D,6
2410270,SD2101,65,A,4
2410270,SD1201,57,E,6
2410270,SD1101,67,C,5
2410271,SD1202,47,D,1
2410271,SD2201,79,B,4
2410271,SD2301,85,C,1
2410272,SD2401,,D,4
2410272,SD2201,68,A,4
2410272,SD2301,66,B,6
2410273,SD1202,70,B,6
2410273,SD2301,64,D,5
2410273,SI1201,77,D,5
2410274,SD1101,66,C,5
2410274,IF1101,79,B,2
2410274,SD1102,65,B,3
2410275,SD2201,78,C,6
2410275,SD2401,92,C,4
2410275,SD2301,71,B,1
2410276,SD2301,57,C,2
2410276,SI1101,62,A,3
2410276,SD1102,50,B,1
2410277,IF1201,53,D,1
2410277,SD1201,62,D,2
2410277,SD2301,77,C,4
2410278,IF1101,100,C,3
2410278,SD2401,74,B,5
2410278,SI1201,67,C,1
2410279,SD2401,75,A,4
2410279,IF1101,89,C,3
2410279,IF1201,,E,4
2410280,SD1202,78,A,5
2410280,SD2201,83,B,4
2410280,SI1201,85,C,5
2410281,SD2401,80,D,1
2410281,SD1202,64,B,4
2410281,SD2201,64,D,3
2410282,SD2401,70,E,5
2410282,SD1102,62,C,1
2410282,SD2301,88,C,4
2410283,IF1201,95,C,3
2410283,SD1102,71,B,2
2410283,SI1201,77,C,4
2410284,SD1202,72,B,5
2410284,SD1102,77,D,5
2410284,SD2401,77,B,4
2410285,SD1202,75,E,5
2410285,SD1102,57,B,3
2410285,SD1201,72,A,3
2410286,SD2201,66,C,1
2410286,SI1101,,C,5
2410286,SD2401,83,A,4
2410287,SD2201,63,B,4
2410287,SD2101,74,A,1
2410287,SD1202,72,E,3
2410288,SI1101,70,A,6
2410288,SD1201,59,E,4
2410288,SD1101,69,D,1
2410289,SD1102,82,A,4
2410289,SD2401,69,A,5
2410289,SD1202,87,C,6
2410290,SD1202,78,B,1
2410290,SD1201,68,C,2
2410290,SD2301,64,A,4
2410291,SI1101,33,B,6
2410291,SD1101,77,D,2
2410291,SI1201,74,D,4
2410292,SD2401,,A,4
2410292,SD1102,77,A,2
2410292,SD2301,87,C,2
2410293,SI1101,63,A,6
2410293,SD2301,84,D,1
2410293,SD2201,64,B,3
2410294,SD1201,73,C,5
2410294,SD2401,94,C,5
2410294,SD2301,62,E,6
2410295,SD1202,67,B,5
2410295,SD2201,61,A,2
2410295,IF1201,,A,4
2410296,SD1102,55,D,5
2410296,IF1101,49,E,4
2410296,IF1201,51,D,1
2410297,SD1202,88,C,4
2410297,SD2101,61,E,5
2410297,SD1201,80,D,6
2410298,SD2301,72,E,3
2410298,SD2101,72,D,4
2410298,SI1101,66,E,5
2410299,SD1201,46,B,1
2410299,SI1201,68,C,3
2410299,SD1102,47,B,1
2410300,SD1102,51,B,3
2410300,SD1101,79,A,3
2410300,SI1101,81,B,3
2220001,SD2201,82,D,3
2220001,SI1201,66,E,4
2220001,SD2401,58,E,4
2220002,SD2401,95,C,4
2220002,SD1101,59,C,2
2220002,SI1201,78,E,4
2220003,SD1202,73,B,3
2220003,SD1101,86,C,4
2220003,SD2401,69,E,3
2220004,SD2301,62,C,1
2220004,SD1201,76,D,6
2220004,SD1101,61,A,2
2220005,IF1201,68,C,2
2220005,SD1101,56,B,5
2220005,SD1201,70,C,3
2220006,SD2101,72,A,2
2220006,IF1201,62,C,3
2220006,SI1101,68,B,2
2220007,IF1101,70,D,5
2220007,SI1101,79,B,6
2220007,SD2301,89,C,2
2220008,SD2301,81,D,6
2220008,SD2401,82,B,4
2220008,SD1201,74,D,5
2220009,SD1202,91,C,4
2220009,SI1101,53,E,1
2220009,IF1101,80,D,2
2220010,SD2401,69,E,1
2220010,SD1102,64,B,2
2220010,IF1201,62,E,4
2220011,IF1201,77,A,2
2220011,SD1202,56,B,3
2220011,SD2201,84,D,6
2220012,SD2301,73,A,3
2220012,SD1202,94,C,6
2220012,SD1201,89,C,3
2220013,SD1102,63,B,6
2220013,SD1201,83,D,4
2220013,SI1201,79,C,6
2220014,SI1101,100,C,3
2220014,IF1201,85,C,5
2220014,SD2401,56,A,2
2220015,IF1101,75,A,3
2220015,SD1202,78,C,2
2220015,SD1102,89,C,1
2220016,SI1101,54,A,1
2220016,SI1201,53,C,6
2220016,SD1201,81,D,6
2220017,SI1101,77,A,3
2220017,IF1101,91,C,5
2220017,IF1201,64,D,3
2220018,SD2401,59,A,5
2220018,SD1101,71,E,3
2220018,SD1102,88,C,1
2220019,IF1201,60,C,6
2220019,SD2201,51,D,4
2220019,SD1202,75,B,2
2220020,SI1101,72,E,3
2220020,SD1102,57,B,5
2220020,SD2301,91,C,1
2220021,SI1201,67,A,1
2220021,IF1201,73,E,1
2220021,IF1101,81,D,4
2220022,IF1101,95,C,2
2220022,SD1201,78,C,2
2220022,SD1102,93,C,5
2220023,SD2301,68,B,3
2220023,IF1201,85,C,4
2220023,SD2201,60,C,2
2220024,SD1201,,E,5
2220024,SD1101,71,C,3
2220024,IF1201,70,A,2
2220025,SD1101,89,C,6
2220025,SD1201,75,E,1
2220025,SD2201,55,E,3
2220026,IF1101,74,B,2
2220026,SD1101,67,A,3
2220026,SD1102,77,C,2
2220027,IF1201,88,C,2
2220027,SD2401,52,B,6
2220027,SI1201,69,D,6
2220028,SI1201,76,A,3
2220028,IF1201,76,A,5
2220028,SD1102,86,C,4
2220029,SI1201,67,E,4
2220029,SD1202,65,C,4
2220029,SD2301,65,A,6
2220030,IF1101,65,B,4
2220030,SD2401,62,C,3
2220030,SD1101,60,D,2
2220031,SD2301,80,A,3
2220031,SD1201,66,C,1
2220031,SD1102,76,B,6
2220032,IF1201,95,C,4
2220032,SD1102,68,A,3
2220032,SI1201,59,C,1
2220033,SI1201,,A,1
2220033,SD1201,60,E,1
2220033,SI1101,64,A,1
2220034,SI1201,82,D,1
2220034,SD1202,87,C,1
2220034,SD2401,68,D,4
2220035,SI1101,73,E,5
2220035,SD2201,84,A,3
2220035,SD1201,60,B,1
2220036,SD2401,58,E,2
2220036,SD2101,74,C,2
2220036,SI1201,66,A,6
2220037,IF1101,62,D,5
2220037,SI1201,75,B,4
2220037,SD2201,55,B,1
2220038,IF1101,54,C,4
2220038,SI1101,67,A,2
2220038,SD1101,70,D,4
2220039,SD1102,68,B,3
2220039,SD2201,83,B,3
2220039,SI1201,93,C,2
2220040,SD1201,,A,5
2220040,IF1101,65,D,4
2220040,SD2301,50,A,2
2220041,SD1202,71,A,6
2220041,SD2201,52,B,1
2220041,SD2101,67,C,6
2220042,IF1201,71,D,2
2220042,SD1102,56,C,4
2220042,SD2401,83,A,1
2220043,IF1101,69,C,5
2220043,SD2101,73,B,2
2220043,SI1101,84,D,1
2220044,SD2401,86,C,3
2220044,SD2101,64,B,1
2220044,SI1101,74,E,5
2220045,SD2401,76,D,1
2220045,SI1101,94,C,2
2220045,SD2101,64,D,6
2220046,SD1101,60,D,6
2220046,SD2101,59,C,1
2220046,IF1101,76,D,2
2220047,SD2101,62,B,1
2220047,SD1101,60,A,1
2220047,SD2301,63,B,1
2220048,SD1102,76,C,3
2220048,SI1201,57,E,6
2220048,SD2201,72,A,1
2220049,SD1202,68,E,6
2220049,IF1101,78,B,3
2220049,SD1101,72,B,4
2220050,SD1102,78,C,3
2220050,SD1101,72,E,3
2220050,SD2201,54,A,6
2220051,IF1201,68,C,4
2220051,SD2401,66,A,1
2220051,SD2101,71,D,3
2220052,SD2401,61,C,6
2220052,SD2301,74,D,2
2220052,SD1102,,C,1
2220053,SD1102,76,D,3
2220053,IF1101,84,A,3
2220053,SI1101,59,A,5
2220054,IF1101,67,B,1
2220054,SD2101,40,E,3
2220054,SD2401,71,A,3
2220055,SD1101,72,B,1
2220055,SD2401,75,A,4
2220055,SI1201,88,C,6
2220056,SD2301,55,E,5
2220056,SD1201,61,D,1
2220056,SD1101,77,B,6
2220057,SD1201,73,C,6
2220057,SD1101,66,C,6
2220057,SD1202,81,D,6
2220058,SD1201,,C,2
2220058,SI1201,95,C,6
2220058,IF1201,82,A,2
2220059,SD2101,64,D,4
2220059,SD1101,71,C,2
2220059,SD1202,56,E,2
2220060,SD1101,46,E,3
2220060,SD1201,67,B,6
2220060,SD1202,82,D,2
2220061,SI1101,61,D,4
2220061,IF1101,78,E,1
2220061,SD1102,71,A,6
2220062,SD2401,61,A,6
2220062,SI1201,61,E,3
2220062,IF1101,69,D,2
2220063,SI1101,63,D,1
2220063,SD1202,79,A,3
2220063,SD1101,80,C,2
2220064,SD1101,63,A,5
2220064,SD2401,77,D,2
2220064,SI1201,50,A,3
2220065,SD2301,90,C,6
2220065,SI1201,47,B,4
2220065,SD1101,62,A,5
2220066,SI1101,52,B,6
2220066,IF1201,87,C,2
2220066,SD2401,56,D,1
2220067,SD2201,82,E,3
2220067,SD2301,87,C,2
2220067,IF1101,72,D,4
2220068,SD2101,86,C,3
2220068,SD1102,65,A,4
2220068,IF1101,73,E,3
2220069,SD1102,86,C,4
2220069,IF1101,49,A,1
2220069,IF1201,74,D,4
2220070,SD1101,84,C,4
2220070,IF1201,48,E,6
2220070,SD2301,80,C,1
2220071,IF1201,53,C,4
2220071,SD1101,70,D,4
2220071,SD2401,91,C,1
2220072,SD2401,52,C,3
2220072,SD1201,58,E,6
2220072,SI1201,87,C,4
2220073,SD1201,83,E,3
2220073,SD1101,65,B,1
2220073,SD1102,58,D,2
2220074,SI1201,70,D,2
2220074,SD1202,83,A,2
2220074,IF1201,61,B,5
2220075,SD2401,54,C,3
2220075,SI1201,64,B,1
2220075,SD2301,58,B,4
2220076,IF1101,85,C,5
2220076,SI1201,72,B,4
2220076,SD2301,57,C,6
2220077,SI1101,60,A,3
2220077,SD2101,67,E,4
2220077,SD2301,55,B,4
2220078,SD1101,63,C,1
2220078,SD2301,53,A,5
2220078,SI1101,,C,5
2220079,IF1201,78,C,3
2220079,SD1102,85,C,1
2220079,SD1201,59,B,2
2220080,SI1101,74,C,5
2220080,SD1102,69,C,2
2220080,SD1201,64,B,5
2220081,IF1101,66,E,4
2220081,SD1101,66,A,1
2220081,SI1201,81,E,6
2220082,SD1201,46,D,6
2220082,SD1102,99,C,6
2220082,IF1201,84,D,1
2220083,SI1101,78,E,2
2220083,IF1101,74,E,4
2220083,SD2101,,A,4
2220084,SD2101,82,D,6
2220084,SD1201,85,C,4
2220084,SI1201,90,C,6
2220085,SD2301,89,C,3
2220085,SI1201,78,C,2
2220085,SD2401,71,A,5
2220086,SD1101,79,E,1
2220086,SD2201,60,A,5
2220086,SD2301,66,C,1
2220087,SD2201,68,C,6
2220087,SD1102,90,C,4
2220087,SD2301,79,A,3
2220088,SD2301,45,B,2
2220088,SD1202,60,C,4
2220088,IF1201,58,A,3
2220089,IF1201,78,B,3
2220089,SI1101,80,A,2
2220089,SD2301,72,A,3
2220090,SD1201,83,C,2
2220090,SI1201,64,D,3
2220090,SD1101,61,E,6
2220091,SD1102,,E,2
2220091,SI1201,56,E,3
2220091,IF1201,65,A,4
2220092,SD1201,58,D,3
2220092,SD1102,55,D,4
2220092,SD2101,77,B,3
2220093,SD2201,83,D,4
2220093,SD2401,74,E,1
2220093,SD2101,64,D,5
2220094,SD2201,36,E,5
2220094,SI1201,43,C,5
2220094,SD2301,67,B,6
2220095,SI1101,87,C,6
2220095,SD2101,79,D,5
2220095,SD1201,62,B,2
2220096,SD2201,87,C,5
2220096,SD2401,64,E,4
2220096,SI1101,72,B,2
2220097,SD2301,85,C,4
2220097,SD1201,42,C,1
2220097,SD1102,74,C,6
2220098,SD2101,65,E,5
2220098,IF1201,83,B,2
2220098,SD2401,85,C,3
2220099,IF1201,68,B,5
2220099,SD2101,66,D,4
2220099,SI1101,90,C,1
2220100,IF1101,68,A,5
2220100,SD2401,79,C,5
2220100,SD1201,72,E,2
2220101,SD2101,83,D,4
2220101,IF1201,76,B,5
2220101,SD1102,80,D,4
2220102,IF1201,80,B,6
